FCD Primary Pillar,FCD Sub-domain,Existing indicator?,"If yes, source (i.e. FSD, SDGs, etc.)","If partial match, list related indicator",Indicator name,Lead,in progress,Definition (what the indicator measures),Relevance (why it matters for the project),Unit of measurement,Available Hanoi,Available Addis,Geographic coverage,Data source,Method (calculation or derivation),Years available,Update frequency,Limitations,Responsible researcher,Notes,
Individual Factors,Economic,Partial ,,similar to FSD (consumption spent on food),Percent of household income spent on food and beverages (all households),Carlos,In progress,"Measures the percentage of total household income allocated to food purchases, indicating the income share spent on food.","This indicator is a complementary measure of food affordability, capturing the share of income dedicated to food. It is particularly relevant for low-income households where food expenditure competes directly with other survival needs.",Percentage (%),0,0,City,Vietnam Household Living Standards Survey (VHLSS) / General Statistics Office (GSO) // Socio-Economic Panel Survey 2021-2022 Data file: sect6a_hh_w5.dta,Calculated as (Total food expenditure / Total household income) Г— 100,2010-2022,Every 2-4 years depending on survey cycle,Based on household survey data; may not capture informal sector spending or informal food transactions,Jemima O'Farrell,Available for Hanoi and Addis Ababa city and national scale,73
Individual Factors,Economic,Partial ,,similar to FSD (%spent on fruit and vegetables + ...),Share of household food expenditure on non-staple groups,Carlos,In progress,Measures the proportion of household food expenditure allocated to non-staple food groups.,"This indicator captures local food supply strength and diversification, which are central to reducing vulnerability to disruptions.",Percentage,0,0,City,VHLSS // Socio-Economic Panel Survey 2021-2022 Data file: sect6a_hh_w5.dta,Calculated as (Total household food expenditure / Total non-staple groups expenditure) Г— 100,,,,,Available for Hanoi and Addis Ababa city and national scale,74
Outcomes,Nutritional status,Partial ,FSD,Obesity and overweight are split in FSD framework,Adult overweight / Adult obesity in women,,,"Measures the percentage of adult women classified as overweight or obese using the Asia-standard threshold of BMI greater than or equal to 23 kg/m2, reported as an age-standardized estimate.",This indicator captures the diet-related non-communicable disease risk associated with unhealthy food environments and rising consumption of energy-dense foods. It helps assess whether the food system supports healthy dietary outcomes for women.,BMI (kg/mВІ),0,1,National & city,Nutrition Survailance (NIN),(Number of women with BMI в‰Ґ 23 / Total number of women measured) Г— 100,2010-2023,,"based on small-scale, isolated research.",Ky Hoang,,
Outcomes,Nutritional status,1,"FSD, SDG",2.2.2,Overweight and obesity in children under 5 years,,,"Measures the percentage of children aged 0-59 months whose weight-for-height Z-score exceeds +2 standard deviations from WHO Child Growth Standards, indicating overweight or obesity.",This indicator highlights early exposure to unhealthy dietary patterns and food environments. It helps track the nutrition transition and the extent to which the food system promotes or undermines healthy child diets.,BMI-for-age ,1,1,National & city,Nutrition Survailance (NIN),(Number of children 0вЂ“59 months with WHZ > +2 SD / Total number of children measured) Г— 100,2010-2023,Annually,,Ky Hoang,,
Outcomes,Nutritional status,1,"FSD, SDG",2.2.1,Stunting in children under 5 years (SDG 2.2.1),,,"Measures the percentage of children aged 0-59 months whose height-for-age Z-score falls below -2 standard deviations from the WHO Child Growth Standards, indicating stunting.","This indicator captures chronic undernutrition and long-term dietary deprivation in early childhood. It is central to understanding whether the food system supports sustained access to diverse and nutritionally adequate diets during the first 1,000 days of life.",HAZ score,1,1,National & city,Nutrition Survailance (NIN),(Number of children 0вЂ“59 months with HAZ < -2 SD / Total number of children measured) Г— 100,2010-2024,Annually,,Ky Hoang,,
Outcomes,Nutritional status,,,,Underweight in children under 5 years,,,"Measures the percentage of children aged 0-59 months whose weight-for-age Z-score falls below -2 standard deviations from WHO Child Growth Standards, indicating underweight status.",This indicator provides an overall measure of child undernutrition by capturing elements of both chronic and acute nutritional deprivation. It helps assess whether the food system is providing sufficient and nutritious food for healthy child development.,WAZ score,1,1,National & city,Nutrition Survailance (NIN),(Number of children 0вЂ“59 months with WAZ < -2 SD / Total number of children measured) Г— 100,2010-2024,Annually,,Ky Hoang,,
Outcomes,Nutritional status,1,"FSD, SDG",2.2.3,Underweight in women 15-49 years,,,"Measures the percentage of women aged 15-49 years with a Body Mass Index below 18.5 kg/m2, indicating underweight status.",This indicator reflects inadequate dietary intake and constrained food access among women of reproductive age. It is important for assessing equity within the food system and the implications of poor nutrition for maternal and intergenerational health.,BMI (kg/mВІ),1,1,National & city,Nutrition Survailance (NIN),(Number of women with BMI < 18.5 / Total number of women measured) Г— 100,2010-2023,Annually,,Ky Hoang,,
Outcomes,Nutritional status,1,"FSD, SDG",2.2.2,Wasting in children under 5 years,,,"Measures the percentage of children aged 0-59 months whose weight-for-height Z-score falls below -2 standard deviations from the WHO Child Growth Standards, indicating wasting.","This indicator reflects acute undernutrition and short-term food insecurity. It is particularly relevant for monitoring how shocks to food access, affordability, and availability affect child nutritional status.",WHZ score,1,1,National & city,Nutrition Survailance (NIN),(Number of children 0вЂ“59 months with WHZ < -2 SD / Total number of children measured) Г— 100,2010-2024,Annually,,Ky Hoang,,
Outcomes,Noncommunicable diseases,Partial ,FSD,Age stratification not defined in source,Adult diabetes prevalence ,Dawit/Ky,,"Measures the proportion of adults aged 18 years and older with diabetes, based on fasting glucose, treatment status, or prior diagnosis, reported as an age-standardized estimate.",This indicator captures a major diet-related non-communicable disease outcome and helps assess how food environments and dietary patterns are shaping long-term health risks.,%,0,1,National & city,"STEPS survey, MoH",,2015-2021,5 years,Not available at province/city level,Ky Hoang,,
Outcomes,"Livelihoods, Poverty, and Equity",,,,HHI for employed population by economic sector,,,Measures concentration of employment across economic sectors using the Herfindahl-Hirschman Index (HHI). Higher values indicate lower labour diversification.,"This indicator reflects diversification and flexibility in local systems, which are critical for adapting to environmental and economic shocks.",,1,0,City,HSO,,,,,,,
Outcomes,"Livelihoods, Poverty, and Equity",1,"FSD, SDG",1.2.1,Poverty headcount ratio,,,Measures the share of the population living below the poverty threshold.,"This indicator helps assess household and regional financial capacity, which shapes food access, adaptive capacity, and resilience to market shocks.",Percentage,1,0,City,HSO,,,,,,,
Outcomes,Environmental impacts,1,"FSD, SDG",15.1.1 related - Forest area as a percentage of total land area,Agricultural land as percentage of country land area,Minh ,,Measures the proportion of land classified as agricultural land within the reporting geography.,This indicator contributes to assessment of food-system resilience by tracking a core structural or performance dimension over time.,Percentage,1,0,City,GSO,,,,,,,
Outcomes,Environmental impacts,1,FSD,,Average tree cover in agricultural land,Jemima,In progress,Average percentage of tree cover on agricultural land in 2018 calculated at commune level,"The amount of desirable tree cover on cropland will vary depending on the crop. Some crops are very well suited to agroforestry systems, such as coffee and cocoa, while others are less suited, such as wheat and barley. All crops can be grown with low levels of tree cover, such as around the field edge. Countries with average tree cover values below 5% signals potential for tree adoption in croplands with minimal yield reduction. The 5% tree cover target should be increased to 30% for cocoa and coffee systems if crop specific analyses are conducted.",%,0,0,National ,"WRI, Meta, ESRI & Internally produced",,,,,,,
Food Supply Chains,Retail and marketing,1,FSD,,Taxes on sugar-sweetened beverages,Carlos,In progress,"The presence of a tax on sugar-sweetened beverages. This indicator only considers national taxes, though it is recognized that many cities and subregions have implemented local taxes. Taxes by sugar content (for example a tax per gram for every gram above 5 grams per 100 milliliter) and by volume (for example per liter) are included.","These taxes are intended to disincentivize people from purchasing sugar-sweetened beverages, which may increase the risk of overweight and obesity, diabetes, and cardiovascular disease. Revenues from these taxes may be used to fund nutrition and health programs, though this is not tracked in the Food Systems Dashboard.",Yes/No/No Data,0,0,National,Vietnam’s National Assembly,Consultation,2026,,,,Available for Vietnam at national scale,87
Food Supply Chains,Production systems and input supply,1,FSD,,National biofortification policies adopted and in-process,Carlos,In progress,This indicator highlights countries where national policies and programs support biofortified crop production and/or consumption.,Biofortified crops have been bred using traditional methods to deliberately increase nutrient content. Current evidence suggest that consumption of biofortified crops may reduce micronutrient deficiencies in at-risk populations.,Yes/No/No Data,0,0,National,FAOLEX // NIN // EPHI,Consultation,2010-2025,,,,Available for Vietnam and Ethiopia at national scale,88
Cross-Cutting Issues,Governance,1,FSD,,Presence of national health-related food environment policies,Carlos,In progress,"Reflects the presence of any health-related tax at all in the country (defined as binary given the diversity of policy mechanisms and objectives catalogued). In some countries; however, the tax may not be a federal policy and may only apply to certain subnational areas such as municipalities.",Indicates a government’s willingness and ability to implement policy instruments aimed at promoting consumer health.,None/Economic/Regulatory/Both/No Data,0,0,National,WHO // FAOLEX //  Ministry of health // EPHI,Consultation,2010-2025,,,,Available for Vietnam and Ethiopia at national scale,89
Food Environments,Food messaging,1,FSD,,Existence of any policies on marketing of junk foods to children,Carlos,In progress,"Existence of policies to reduce the impact of marketing foods and non-alcoholic beverages high in saturated fats, trans fats, added sugars, or salt on children. This indicator is based on those countries who have responded “Yes” to the question “Is your country implementing any policies to reduce the impact on children of marketing foods and non-alcoholic beverages high in saturated fats, trans-fatty acids, free sugars, or salt?""",Some studies have found that increased advertising to children was associated with increased consumption of junk food (Andreyeva et al. 2011).,Yes/No/No Data,0,0,National,WHO // FAOLEX //  Ministry of health // EPHI,Consultation,2010-2025,,,,Available for Vietnam and Ethiopia at national scale,90
Food Environments,Food messaging,1,FSD,,Existence of any policies on mandatory nutrition labeling for packaged foods,Carlos,In progress,"Yes” indicates that a policy is in place that requires mandatory nutrition labeling even in the absence of a nutrition or health claim. Many countries that are not marked with Yes"" require nutrition labels, but only when nutrition or health claims are made.",The WHO recommends the use of standardized nutritional labeling to help consumers make healthy food choices (WHO 2016).,Yes/No/No Data,0,0,National,WHO // FAOLEX //  Ministry of health // EPHI,Consultation,2010-2025,,,,Available for Vietnam and Ethiopia at national scale,91
Individual Factors,Economic,1,FSD,,Median income,Carlos,In progress,Income of a person in the 50th percentile of the income distribution for a country. Estimates are based on either consumption or income data from the country. Data are reported in 2011 PPPs.,"Median income provides an estimate of the average income of a person in a country. Higher median income increases a population's food security and access to food. As incomes rise, individuals and households spend a smaller proportion of income on food expenditure. More disposable income may lead to increased purchases of foods seen as desirable or convenient and eating outside of the home.",2011 USD(PPT)/capita/day,0,0,National,WHO // FAOLEX //  Ministry of health // EPHI,Consultation,2010-2025,,,,Available for Vietnam and Ethiopia at national scale,93
Individual Factors,Economic,1,FSD,,Final consumption expenditure per capita,Carlos,In progress,"Household final consumption expenditure is the market value of all goods and services, including durable products such as cars, washing machines, and home computers, purchased by households. Data are converted to constant 2017 international dollars using purchasing power parity rates from the International Comparison Program. Population was determined using estimates from the World Bank.","Final consumption expenditure provides an approximate measure of income and consumer spending power, which impacts the affordability of foods and consumer behavior.",2017 international dollars(PPT)/capita,0,0,City,Vietnam Household Living Standards Survey (VHLSS) / General Statistics Office (GSO)  // Socio-Economic Panel Survey 2021-2022Data file: cons_agg_w5.dta,Calculated as (Total food expenditure / Total household expenditure) Г— 100,2010-2022,Every 2-4 years depending on survey cycle,Based on household survey data; may not capture informal sector spending or informal food transactions,,Available for Hanoi and Addis Ababa city and national scale,94
Individual Factors,Behavioral ,1,FSD,,Average number of lunches cooked per week,Carlos/Dawit/Ky,In progress,"People's recall of the sum of all lunches cooked in the previous week, divided by the total number of respondents. Disaggregation by sex available.",Explores how often lunch is cooked at home per week as a proxy of a healthy diet.,times/week,0,0,National,Cookpad research data ,Consultation,2021-2022,,,,Available for Vietnam and Ethiopia at national scale,95
Individual Factors,Behavioral ,1,FSD,,Average number of dinners cooked per week,Carlos/Dawit/Ky,In progress,"People's recall of the sum of all dinners cooked in the previous week, divided by the total number of respondents. Disaggregation by sex available.",Explores how often dinner is cooked at home per week as a proxy of a healthy diet.,times/week,0,0,National,Cookpad research data ,Calculated,2021-2022,,,,Available for Vietnam and Ethiopia at national scale,96
Individual Factors,Behavioral ,1,FSD,,Average number of meals (lunch and dinner) cooked per week,Carlos/Dawit/Ky,In progress,"People's recall of the sum of all lunches and dinners cooked in the past week, divided by total number of respondents. Disaggregation by sex available.",Explores the frequency of home cooked meals per week as a proxy of a healthy diet.,times/week,0,0,City,HH Survey Q5_30 and Q5_32,Calculated,2026,,,,,97
Individual Factors,Behavioral ,1,FSD,,Percent of people who reported cooking ? 5 times per week,Carlos/Dawit/Ky,In progress,"The number of people who reported cooking lunch or dinner at home, greater than or equal to 5 times per week, divided by the total number of respondents surveyed. Disaggregation by sex available.","Explores the percentage of people who cook at home at least 5 times per week, compared to the total survey sample.",%,0,0,City,HH Survey Q5_30 and Q5_32,Calculated,2026,,,,,98
,,,,,,,,,,,0,0,,,,,,,,,
Drivers,Environment and climate change,1,FSD,,Long term average annual precipitation (mm/year),Jemima,In progress,Average precipitation is the long-term average in depth (over space and time) of annual precipitation in the country. Precipitation is defined as any kind of water that falls from clouds as a liquid or a solid.,"Precipitation is an important source of water for agriculture (blue water). Rain-fed agriculture can be considered more sustainable than irrigated agriculture (green water). However, in many places rain-fed agriculture is associated with lower yields and less resilient production.",mm/year,0,0,,,,,,,,,
Drivers,Urbanization,1,FSD,,Urban population as percent of total population (%),Jemima,In progress,Urban population refers to people living in urban areas as defined by national statistical offices. The data are collected and smoothed by the United Nations Population Division.,"Urbanization can be a challenge to the food system, as with increased proportion of people living in urban areas, food production is at risk of declining, especially on low- and middle-sized farms. Urban areas demand high penetration of food distribution and retail.",%,0,0,,,,,,,,,
Drivers,Population growth and migration,1,FSD,,Annual population growth (%),Jemima,In progress,"The annual population growth rate for year t is the exponential rate of growth of midyear population from year t-1 to t, expressed as a percentage . Population is based on the de facto definition of population, which counts all residents regardless of citizenship or legal status.","Population growth is relevant as it speaks to how fast a population is changing, what the age profile of the population is, and gives clues to the age-dependency ratio. A fast growing population also means pressure on the food system to continue increasing supply to meet the demands of a larger population.",%,0,0,,,,,,,,,
Food Supply Chains,Production systems and input supply,1,FSD,,Average size of agricultural holding,Jemima,In progress,Average size in hectares of an agricultural holding including land used wholly or partly for crop production or raising livestock. Data are from agricultural censuses representative of all farms or farm households in a country.,"Average farm size varies regionally, though both large and small farms play critical roles in ensuring food and nutrition security (Herrero et al. 2017). In Sub-Saharan Africa, South Asia, and Southeast Asia, small farms account for the majority of nutrient production and very small farms (less than 2 hectares) provide a source of income for millions of vulnerable smallholder farmers. Increasing average farm size may result from declines in rural population density, urbanization, and growth in non-farm job opportunities (Masters et al. 2013). Growth in farm size (where farm sizes are small) may enable increases in agricultural productivity and surpluses of food available for trade.",ha,0,0,,,,,,,,,
Food Supply Chains,Production systems and input supply,1,FSD,,Area with very-small to small fields,Jemima,In progress,"Proportion of agricultural area occupied by small and very small fields < 2.56 hectares at country-level. Higher proportion of smaller field sizes may also indicate a higher proportion of smallholder farms. A field is an enclosed agricultural area with annual or perennial crops, pastures, hayfields, and fallow.",Field size is a good indicator of agricultural intensity and has been shown to exhibit a negative relationship with biodiversity.,n/a,0,0,,,,,,,,,
Food Supply Chains,Production systems and input supply,1,FSD,,Average crop species richness,Jemima,In progress,Crop diversity richness in production systems.,"Higher crop species richness and diversity are associated with several positive outcomes for production (yield stability, reduced pest and disease outbreaks, higher pollinator diversity) and for the environment (higher insect and bird richness and abundance, higher soil biodiversity). This indicator can be used to identify crops grown in areas with very low versus very high numbers of different crops within a 10x10 km area. Countries with lower average crop richness are likely to be growing in simplified farms and landscapes (monoculture systems) while countries with crop richness tending towards 42 are likely to be growing in multifunctional farms and landscapes. Note that the scale of the data (10x10 km) means that many small farms all producing different crops in monocultures will likely result in higher crop richness or diversity scores than several large farms using intercrop or crop rotation systems. There is no clear scientific consensus on a target crop richness to ensure sustainable production systems. A global target of 15 crops per 10x10km should be attainable for all cropland and could be used as a threshold across all commodities.",crops/ha,0,0,,,,,,,,,
Food Supply Chains,Storage and distribution,1,FSD,,Road density (km/kmІ),Jemima,In progress,"Meters of road per squared kilometer of land area. Roads may include highways, primary roads, secondary roads, tertiary roads, and local roads.","Road infrastructure is key for ensuring market access and efficient supply chains. Road density is higher in wealthier and more densely populated countries. In rural, remote areas, lack of roads may limit yearlong access to nutritious foods.",km/kmІ,0,0,,,,,,,,,
Food Supply Chains,Storage and distribution,Yes,SDG,12.3.1a and 12.3.1.b: the Food Loss Index (FLI) and the Food Waste Index (FWI),Food loss index,-,Suggested,"Measures the percentage of food lost from post-harvest up to, but excluding, the retail stage.","Highlights structural issues like poor infrastructure, inadequate cold storage, and bad transport roads.",%,0,0,,,,,,,,,
Food Supply Chains,Storage and distribution,Yes,SDG,12.3.1a and 12.3.1.b: the Food Loss Index (FLI) and the Food Waste Index (FWI),Food waste index,-,Suggested,"Measures the weight of food wasted at retail, food service, and household levels.","Exposes behavioral issues like over-purchasing, poor meal planning, and rigid retail cosmetic standards.",kg/capita,0,0,,,,,,,,,
Outcomes,Food security,1,FSD,,Number of children who received food through school meal programs,Dawit & Ky,In progress,"Number of children of all ages in the country who received food through their schools (in the form of national or large-scale school meal programs) in the reference school year. This includes children in preschool, primary school, secondary or vocational school, or other school levels (e.g., special education). This information was gathered through the Global Survey of School Meal Programs, with surveys completed by government-appointed focal points who gathered information from official sources; in countries with multiple school meal programs in operation, this is inclusive of all programs.",This captures the reach of national or large-scale school meal programs in the country—the total number of children who benefit from such programs.,n/a,0,0,,,,,,,,,
Outcomes,Food security,1,FSD,,Prevalence of undernourishment (SDG 2.1.1),Dawit & Ky,In progress,"An estimate of the proportion of the population that lacks enough dietary energy for a healthy, active life.",An indicator used to monitor hunger at the global and regional level. The estimate is obtained with a model that compares the distribution of habitual food consumption levels with the dietary energy,%,0,0,National,,,,,,,,
Outcomes,Food security,1,FSD,,Experience food insecurity (SDG 2.1.2) (%),Dawit & Ky,In progress,Prevalence of the population experiencing moderate or severe food insecurity as measured by the FIES.,"The FIES is an experience-based food security scale used to produce a measure of access to food at different levels of severity that can be compared across contexts. It relies on data obtained by asking people, directly in surveys, about the occurrence of conditions and behaviors that are known to reflect constrained access to food.",%,0,0,National,,,,,,,,
Outcomes,Dietary intake,1,FSD,,MDD-W: Minimum Dietary Diversity for Women (SDG 2.2.4),Dawit & Ky,In progress,Percentage of women 15-49 years of age who consumed at least five out of ten defined food groups the previous day or night. It is associated with a higher probability of nutrient adequacy for 11 micronutrients.,"MDD-W is a food group diversity indicator that reflects micronutrient adequacy, summarized across 11 micronutrients. The proportion of women aged 15-49 years who consume at least five food groups out of ten is a proxy indicator for higher micronutrient adequacy of diets among women in the population.",%,0,0,National,,,,,,,,
Outcomes,Dietary intake,1,FSD,,Minimum Dietary Diversity for Children (SDG 2.2.4) (%),Dawit & Ky,In progress,Percentage of children 6–23 months of age who consumed foods and beverages from at least five out of eight defined food groups during the previous day.,"WHO guiding principles for infant and young child feeding recommend that children aged 6–23 months be fed a variety of foods to ensure that nutrient needs are met. A diet lacking in diversity can increase the risk of micronutrient deficiencies, which may have a damaging effect on children’s physical and cognitive development.",%,0,0,National,,,,,,,,
Outcomes,Dietary intake,1,FSD,,Consumption of all five food groups,Dawit & Ky,In progress,"Proportion of the population age 15 years and older consuming all five food groups typically recommended for daily consumption: fruits; vegetables; pulses, nuts, or seeds; animal-source foods; and starchy staples.","This indicator reflects the proportion of the population consuming any non-zero amount of each food group, to capture minimal adherence to dietary guidelines. These food groups are aligned with the food groups used in the “Cost of a healthy diet” indicator.",%,0,0,National,,,,,,,,
Outcomes,Dietary intake,1,FSD,,Consumption of at least one starchy staple food,Dawit & Ky,In progress,Proportion of the population age 15 years and older who consumed at least one starchy staple the previous day or night.,Starchy staples are universally recommended in dietary guidelines. Consumption of whole grains in particular has been associated with decreased risk of noncommunicable diseases.,%,0,0,National,,,,,,,,
Outcomes,Dietary intake,1,FSD,,Consumption of at least one vegetable,Dawit & Ky,In progress,Proportion of the population age 15 years and older who consumed at least one vegetable the previous day or night.,Vegetables are universally recommended in dietary guidelines. The WHO recommends consuming at least 400 g of fruits and vegetables per day. Consumption of fruits and vegetables have been associated with decreased risk of micronutrient deficiencies and noncommunicable diseases.,%,0,0,National,,,,,,,,
Outcomes,Dietary intake,1,FSD,,Consumption of at least one fruit,Dawit & Ky,In progress,Proportion of the population age 15 years and older who consumed at least one fruit the previous day or night.,Fruits are universally recommended in dietary guidelines. The WHO recommends consuming at least 400 g of fruits and vegetables per day. Consumption of fruits and vegetables have been associated with decreased risk of micronutrient deficiencies and noncommunicable diseases.,%,0,0,National,,,,,,,,
Outcomes,Dietary intake,1,FSD,,"Consumption of at least one pulse, nut, or seed",Dawit & Ky,In progress,"Proportion of the population age 15 years and older who consumed at least one pulse, nut, or seed the previous day or night.","Pulses and/or nuts and seeds are universally recommended in dietary guidelines; pulses, nuts, and seeds are a food group in the Cost of a Healthy Diet indicator. Pulses, nuts, and seeds are a good source of protein, vitamins, and minerals, and their consumption has been associated with decreased risk of micronutrient deficiencies and noncommunicable diseases.",%,0,0,National,,,,,,,,
Outcomes,Dietary intake,1,FSD,,Consumption of at least one animal-source food,Dawit & Ky,In progress,Proportion of the population age 15 years and older who consumed at least one animal-source food the previous day or night.,"Animal-source foods are universally recommended in dietary guidelines and are a food group in the Cost of a Healthy Diet indicator. Animal-source foods are a good source of protein, vitamins, and minerals.",%,0,0,National,,,,,,,,
Outcomes,Dietary intake,1,FSD,,Protective Food Consumption,Dawit & Ky,In progress,"Proportion of the population age 15 years and older who consumed at least one fruit, at least one vegetable, and at least one whole grain, legume, nut, or seed.","The WHO recommends that carbohydrate intake should come primarily from whole grains, vegetables, fruits and pulses. WHO also recommends an intake of at least 400 grams of vegetables and fruits per day for adolescents and adults (aged 10 years and older). WHO also recommends an intake of at least 25 grams per day of naturally-occurring dietary fibre as consumed in foods, for adolescents and adults (aged 10 years and older). The Protective Food Consumption indicator correlates with higher likelihood of meeting each of these recommendations.",%,0,0,National,,,,,,,,
Outcomes,Dietary intake,1,FSD,,Unhealthy Food Consumption,Dawit & Ky,In progress,"Proportion of the population age 15 years and older who consumed any of the following: (a) more than one sugary food or beverage or any soft drinks (including baked or grain-based sweets; other sweets; sweetened tea, coffee, or milk drinks; fruit juice or fruit drinks; soft drinks); (b) more than one ultraprocessed salty food (including packaged ultraprocessed salty snacks, instant noodles, fast food, processed meat, or deep fried food); or (c) processed meat.","(a) The WHO recommends free sugars be limited to less than 10% of total energy. Excessive consumption of sugary foods may increase the risk of overweight and obesity and diet-related noncommunicable diseases, and is a marker of dietary transitions. Two or more sugary foods or beverages (or one soft drink) is related to a higher likelihood of exceeding the WHO sugar recommendation. (b) The WHO recommends sodium be limited to <2g/day (<5g/day salt). Excessive consumption of ultraprocessed salty foods may increase the risk of hypertension and diet-related noncommunicable diseases, and is a marker of dietary transitions. For this reason ""processed foods high in salt"" is reported in WHO STEPS survey fact sheets. Two or more ultraprocessed salty foods is related to a higher likelihood of exceeding the WHO salt recommendation. (c) The WHO IARC classifies processed meats as a class 1 carcinogen, being known to cause cancer. Processed meats are also high in sodium and saturated fat. Conusumption of processed meat is linked to increased risk of diet-related noncommunicable diseases.",%,0,0,National,,,,,,,,
Outcomes,Dietary intake,1,FSD,,Soft drink consumption,Dawit & Ky,In progress,"Proportion of the population age 15 years and older who consumed a sugar-sweetened soft drink during the previous day or night. Sugarsweetened soft drinks include soda, energy drinks, and sports drinks.",Sugar-sweetened soft drinks are a large source of free sugars; WHO recommends added sugars be limited to less than 10% of total energy. Excessive consumption may increase the risk of overweight and obesity and diet-related noncommunicable diseases.,%,0,0,National,,,,,,,,
Outcomes,Dietary intake,1,FSD,,Consumption of more than one sugary food or beverage,Dawit & Ky,In progress,"Proportion of the population age 15 years and older who consumed more than one sugary food or beverage in the previous day or night. Sugary foods include baked or grain-based sweets, and other sweets; sugary beverages include soft drinks, sweet tea/coffee/cocoa, and fruit juice and fruit drinks.","The WHO recommends free sugars be limited to less than 10% of total energy. Excessive consumption of sugary foods may increase the risk of overweight and obesity and diet-related noncommunicable diseases, and is a marker of dietary transitions. Two or more sugary foods or beverages (or one soft drink) is related to a higher likelihood of exceeding the WHO sugar recommendation.",%,0,0,National,,,,,,,,
Outcomes,Dietary intake,1,FSD,,Consumption of more than one salty ultra-processed food,Dawit & Ky,In progress,"Proportion of the population age 15 years and older who consumed more than one salty food in the previous day or night. Salty foods include processed meats, packaged ultra-processed salty snacks, instant noodles, deep fried foods, and fast food.","The WHO recommends sodium be limited to <2g/day (<5g/day salt). Excessive consumption of ultraprocessed salty foods may increase the risk of hypertension and diet-related noncommunicable diseases, and is a marker of dietary transitions. For this reason ""processed foods high in salt"" is reported in WHO STEPS survey fact sheets. Two or more ultraprocessed salty foods is related to a higher likelihood of exceeding the WHO salt recommendation.",%,0,0,National,,,,,,,,
Outcomes,Dietary intake,1,FSD,,Processed meat consumption,Dawit & Ky,In progress,Proportion of the population age 15 years and older who consumed processed meat during the previous day or night.,"Processed meats typically are calorie dense, high in sodium and saturated fat, and contain nitrates or chemical preservatives and thus should be limited. The WHO IARC classifies processed meats as a class 1 carcinogen, being known to cause cancer. Excessive conusumption may increase the risk of diet-related noncommunicable diseases.",%,0,0,National,,,,,,,,
Outcomes,Dietary intake,1,FSD,,Healthy Diet Pattern for prevention of chronic disease ,Dawit & Ky,In progress,"Proportion of the population who met all six of the following criteria: consumed (a) at least one fruit, (b) at least one vegetable, (c) at least one whole grain, legume, nut, or seed; (d) no more than one sugary food or beverage and no soft drinks; (e) no more than one salty ultra-processed food; (f) no processed meat.",This indicator is a proxy for adherence to WHO recommendations for the prevention of diet-related NCDs. It includes the rationale and validation results for both the Protective Food Consumption (PFC) and Unhealthy Food Consumption (UFC) indicators. It has been approved by member states and is part of the WHO strategy and results framework: https://www.who.int/publications/m/item/gpw-impact-measurement-metadata,%,0,0,National,,,,,,,,
Outcomes,Dietary intake,1,FSD,,Global Dietary Recommendations score,Dawit & Ky,In progress,"The global dietary recommendations (GDR) score has two components, NCD-Protect and NCD-Risk. It is based on food consumption from nine health-protective food groups (NCD-Protect) and eight food groups to limit or avoid (NCD-Risk) during the previous day or night. The score ranges from 0 to 18 with higher scores indicating more recommendations met.",A higher Global Dietary Recommendations (GDR) score reflects meeting global dietary recommendations of the WHO.,n/a,0,0,National,,,,,,,,
Outcomes,Dietary intake,1,FSD,,NCD-Protect,Dawit & Ky,In progress,"The NCD-Protect score is an indicator of dietary factors protective against NCDs, based on consumption during the previous day or night of nine food groups that are associated with meeting WHO recommendations on fruits, vegetables, whole grains, pulses, nuts and seeds, and fiber. The score ranges from zero to nine expressed as an average score for the population age 15 years and older.","Dietary factors protective against NCDs include consumption of whole grains, pulses, nuts or seeds, at least 400g fruits and vegetables per day, and at least 25g of fiber per day. A higher NCD-Protect score indicates inclusion of more healthpromoting foods in the diet, and correlates positively with meeting global dietary recommendations.",n/a,0,0,National,,,,,,,,
Outcomes,Dietary intake,1,FSD,,NCD-Risk,Dawit & Ky,In progress,"The NCD-Risk score is an indicator of dietary risk factors for NCDs, based on consumption during the previous day or night of eight food groups that are negatively associated with meeting WHO recommendations on free sugar, salt, total and saturated fat, and red and processed meat. The score ranges from zero to nine expressed as an average score for the population age 15 years and older.","Dietary risk factors for NCDs include consumption of >10% of dietary energy from free sugar/day, >5g of salt/day, >30% of total fat/day, >10% of dietary energy from saturated fat/day, >350-500g red meat/week, and any processed meat. A higher NCD-Risk score indicates inclusion of more foods and drinks to limit in the diet, and correlates negatively with meeting global dietary recommendations. The NCD-Risk score is also a proxy for ultra-processed food intake; a higher NCD-Risk score indicates higher ultraprocessed food consumption.",n/a,0,0,National,,,,,,,,
Outcomes,Dietary intake,1,FSD,,Dietary Diversity Score,Dawit & Ky,In progress,"The Dietary Diversity Score (DDS) is the number of food groups consumed the previous day or night, of the ten food groups used in the MDD-W indicator: 1) grains, white roots and tubers, and plantains, 2) pulses (beans, peas and lentils), 3) nuts and seeds, 4) dairy, 5) meat, poultry, and fish, 6) eggs, 7) dark green leafy vegetables, 8) other vitamin A-rich fruits and vegetables, 9) other vegetables, and 10) other fruits. The score ranges from 0 to 10 expressed as an average score for the population with a higher score indicating inclusion of more food groups in the diet.","A higher Dietary Diversity Score is associated with higher nutrient intakes. It is an indicator of micronutrient adequacy, and can be used to assess gender equity of dietary diversity.",n/a,0,0,National,,,,,,,,
