#,Affordable diets,Sustainable diets,Healthier diets,Pillars by FSD,FSD Sub-domain,FCD Primary Pillar,FCD Sub-domain,SDGs? (Y/N),Pillars by FSCI,Domain / Sub-theme,Indicator name,in progress,Definition (what the indicator measures),Relevance (why it matters for the project),Unit of measurement,Available Hanoi,Available Addis,Geographic coverage,Data source,Method (calculation or derivation),Years available,Update frequency,Limitations,Responsible researcher,Notes
65,,x,,Individual Factors,Economic – income & purchasing power,Individual Factors,Economic,,Resilience,Resilience,Share of household food expenditure on non-staple groups,,Measures the proportion of household food expenditure allocated to non-staple food groups.,"This indicator captures local food supply strength and diversification, which are central to reducing vulnerability to disruptions.",Percentage,1,0,City,VHLSS,,,,,,
1,,,x,Outcomes,Nutrition & health,Outcomes,Nutritional status,,"Diets, Nutrition & Health",Nutrition & Health,Stunting in children under 5 years (SDG 2.2.1),,"Measures the percentage of children aged 0-59 months whose height-for-age Z-score falls below -2 standard deviations from the WHO Child Growth Standards, indicating stunting.","This indicator captures chronic undernutrition and long-term dietary deprivation in early childhood. It is central to understanding whether the food system supports sustained access to diverse and nutritionally adequate diets during the first 1,000 days of life.",HAZ score,1,1,National & city,Nutrition Survailance (NIN),(Number of children 0â€“59 months with HAZ < -2 SD / Total number of children measured) Ã— 100,2010-2024,Annually,,Ky Hoang,
2,,,x,Outcomes,Nutrition & health,Outcomes,Nutritional status,,"Diets, Nutrition & Health",Nutrition & Health,Wasting in children under 5 years,,"Measures the percentage of children aged 0-59 months whose weight-for-height Z-score falls below -2 standard deviations from the WHO Child Growth Standards, indicating wasting.","This indicator reflects acute undernutrition and short-term food insecurity. It is particularly relevant for monitoring how shocks to food access, affordability, and availability affect child nutritional status.",WHZ score,1,1,National & city,Nutrition Survailance (NIN),(Number of children 0â€“59 months with WHZ < -2 SD / Total number of children measured) Ã— 100,2010-2024,Annually,,Ky Hoang,
3,,,x,Outcomes,Nutrition & health,Outcomes,Nutritional status,,"Diets, Nutrition & Health",Nutrition & Health,Underweight in children under 5 years,,"Measures the percentage of children aged 0-59 months whose weight-for-age Z-score falls below -2 standard deviations from WHO Child Growth Standards, indicating underweight status.",This indicator provides an overall measure of child undernutrition by capturing elements of both chronic and acute nutritional deprivation. It helps assess whether the food system is providing sufficient and nutritious food for healthy child development.,WAZ score,1,1,National & city,Nutrition Survailance (NIN),(Number of children 0â€“59 months with WAZ < -2 SD / Total number of children measured) Ã— 100,2010-2024,Annually,,Ky Hoang,
4,,,x,Outcomes,Nutrition & health,Outcomes,Nutritional status,,"Diets, Nutrition & Health",Nutrition & Health,Overweight and obesity in children under 5 years,,"Measures the percentage of children aged 0-59 months whose weight-for-height Z-score exceeds +2 standard deviations from WHO Child Growth Standards, indicating overweight or obesity.",This indicator highlights early exposure to unhealthy dietary patterns and food environments. It helps track the nutrition transition and the extent to which the food system promotes or undermines healthy child diets.,BMI-for-age ,1,1,National & city,Nutrition Survailance (NIN),(Number of children 0â€“59 months with WHZ > +2 SD / Total number of children measured) Ã— 100,2010-2023,Annually,,Ky Hoang,
5,,,x,Outcomes,Nutrition & health,Outcomes,Nutritional status,,"Diets, Nutrition & Health",Nutrition & Health,Underweight in women 15-49 years,,"Measures the percentage of women aged 15-49 years with a Body Mass Index below 18.5 kg/m2, indicating underweight status.",This indicator reflects inadequate dietary intake and constrained food access among women of reproductive age. It is important for assessing equity within the food system and the implications of poor nutrition for maternal and intergenerational health.,BMI (kg/mÂ²),1,1,National & city,Nutrition Survailance (NIN),(Number of women with BMI < 18.5 / Total number of women measured) Ã— 100,2010-2023,Annually,,Ky Hoang,
6,,,x,Outcomes,Nutrition & health,Outcomes,Nutritional status,,"Diets, Nutrition & Health",Nutrition & Health,Adult overweight / Adult obesity in women,,"Measures the percentage of adult women classified as overweight or obese using the Asia-standard threshold of BMI greater than or equal to 23 kg/m2, reported as an age-standardized estimate.",This indicator captures the diet-related non-communicable disease risk associated with unhealthy food environments and rising consumption of energy-dense foods. It helps assess whether the food system supports healthy dietary outcomes for women.,BMI (kg/mÂ²),0,1,National & city,Nutrition Survailance (NIN),(Number of women with BMI â‰¥ 23 / Total number of women measured) Ã— 100,2010-2023,,"based on small-scale, isolated research.",Ky Hoang,
33,,,x,Outcomes,Nutrition & health,Outcomes,Noncommunicable diseases,,"Diets, Nutrition & Health",Nutrition & Health,Adult diabetes prevalence,Not in DB?,"Measures the proportion of adults aged 18 years and older with diabetes, based on fasting glucose, treatment status, or prior diagnosis, reported as an age-standardized estimate.",This indicator captures a major diet-related non-communicable disease outcome and helps assess how food environments and dietary patterns are shaping long-term health risks.,%,0,1,National & city,"STEPS survey, MoH",,2015-2021,5 years,Not available at province/city level,Ky Hoang,
,,,x,Outcomes,Nutrition & health,Outcomes,Noncommunicable diseases,,"Diets, Nutrition & Health",Nutrition & Health,Prevalence of adult hypertension,Not in DB?,"Measures the proportion of adults aged 18 years and older with hypertension, defined as systolic and/or diastolic blood pressure greater than or equal to 140/90 mmHg, reported as an age-standardized estimate.","This indicator reflects the health consequences of dietary patterns associated with excess salt, processed foods, and inadequate fruit and vegetable consumption. It helps connect food system conditions to non-communicable disease risk.",%,0,1,National & city,"STEPS survey, MoH",,2015-2021,5 years,Not available at province/city level,Ky Hoang,
38,,x,,Drivers,"Population growth, migration & conflict",Outcomes,"Livelihoods, Poverty, and Equity",,Resilience,Resilience,HHI for employed population by economic sector,,Measures concentration of employment across economic sectors using the Herfindahl-Hirschman Index (HHI). Higher values indicate lower labour diversification.,"This indicator reflects diversification and flexibility in local systems, which are critical for adapting to environmental and economic shocks.",,1,0,City,HSO,,,,,,
41,,x,,Outcomes,Social equity & inclusion,Outcomes,"Livelihoods, Poverty, and Equity",,Resilience,Resilience,Poverty headcount ratio,,Measures the share of the population living below the poverty threshold.,"This indicator helps assess household and regional financial capacity, which shapes food access, adaptive capacity, and resilience to market shocks.",Percentage,1,0,City,HSO,,,,,,
43,,x,,Drivers,"Biophysical, climate & environment",Outcomes,Environmental impacts,,Resilience,Resilience,Agricultural land as percentage of country land area,,Measures the proportion of land classified as agricultural land within the reporting geography.,This indicator contributes to assessment of food-system resilience by tracking a core structural or performance dimension over time.,Percentage,1,0,City,GSO,,,,,,
